Video;Base;Forms;FormsOrder;PigLitter;VideoName;Treatment;Timepoint;Categoria (Experient ou Student);Observers;Posture;Interaction;Activity;Attention;Miscellaneous;Lift.Pelvic.Limb;Scratching.Rubbing;Walk.Away.Run;Sit.With.Difficulty;Continuously.Balances;Bite.Grill;Head.Down;Difficulty.Overcoming;UPAPS;Analgesia
1;Stelio;1;1;2;Su’no 2 V’deo 4;NA;Pre-castration;Experient;A1;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;0;0
3;Stelio;1;3;20;Su’no 20 v’deo 2;NA;Pre-castration;Experient;A1;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;0;0
5;Stelio;1;5;45;Su’no 45 v’deo 2;NA;Pre-castration;Experient;A1;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.0;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.0;Head.Down.0;Difficulty.Overcoming.0;0;0
7;Stelio;1;7;2;Su’no 2 V’deo 3;NA;Post-castration;Experient;A1;Posture.2;Interaction.3;Activity.2;Attention.3;Miscelanneous.3;Lift.Pelvic.Limb.1;Scratching.Rubbing.0;Walk.Away.Run.1;Sit.With.Difficulty.1;Continuously.Balances.1;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;13;1
9;Stelio;1;9;34;Su’no 34 V’deo 1;NA;Post-castration;Experient;A1;Posture.3;Interaction.2;Activity.3;Attention.1;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.0;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.1;11;1
11;Stelio;2;1;20;Su’no 20 v’deo 1;NA;Post-castration;Experient;A1;Posture.2;Interaction.1;Activity.1;Attention.1;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.1;Bite.Grill.1;Head.Down.1;Difficulty.Overcoming.0;6;1
13;Stelio;2;3;42;Su’no 42 v’deo 2;NA;Pre-castration;Experient;A1;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;1;0
15;Stelio;2;5;45;Su’no 45 v’deo 1;NA;Post-castration;Experient;A1;Posture.3;Interaction.1;Activity.1;Attention.0;Miscelanneous.2;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.1;Bite.Grill.0;Head.Down.1;Difficulty.Overcoming.0;7;1
17;Stelio;2;7;21;Su’no 21 v’deo 1;NA;Post-castration;Experient;A1;Posture.2;Interaction.2;Activity.2;Attention.2;Miscelanneous.2;Lift.Pelvic.Limb.1;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.1;Continuously.Balances.1;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;10;1
19;Stelio;2;9;40;Su’no 40 V’deo 2;NA;Pre-castration;Experient;A1;Posture.0;Interaction.0;Activity.0;Attention.0;Miscelanneous.1;Lift.Pelvic.Limb.0;Scratching.Rubbing.0;Walk.Away.Run.0;Sit.With.Difficulty.0;Continuously.Balances.0;Bite.Grill.1;Head.Down.0;Difficulty.Overcoming.0;1;0
